disease_id	entrezgene	gene	disease_name	disease_name_ja	UMLS_id	disease_degree
H00004	hsa:7525	YES1	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:2534	FYN	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:7157	TP53	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00004	hsa:586	BCAT1	Chronic myeloid leukemia	慢性骨髄性白血病	C0023473	18
H00010	hsa:25	ABL1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:6790	AURKA	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:9212	AURKB	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3717	JAK2	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:2322	FLT3	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:613	BCR	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:4914	NTRK1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:4916	NTRK3	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3265	HRAS	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3845	KRAS	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:4893	NRAS	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:7525	YES1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5693	PSMB5	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5689	PSMB1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:7124	TNF	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:8792	TNFRSF11A	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:9734	HDAC9	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:9759	HDAC4	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3065	HDAC1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:8841	HDAC3	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3066	HDAC2	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:55869	HDAC8	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:83933	HDAC10	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:51564	HDAC7	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:10014	HDAC5	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3718	JAK3	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:7297	TYK2	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:6197	RPS6KA3	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5979	RET	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:10461	MERTK	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:2932	GSK3B	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3480	IGF1R	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3481	IGF2	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5743	PTGS2	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:4790	NFKB1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:207	AKT1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:8743	TNFSF10	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:8797	TNFRSF10A	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:8795	TNFRSF10B	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:596	BCL2	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3569	IL6	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:6097	RORC	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:2261	FGFR3	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:1432	MAPK14	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5600	MAPK11	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:6300	MAPK12	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5603	MAPK13	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:958	CD40	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:4582	MUC1	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3592	IL12A	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:3593	IL12B	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:6351	CCL4	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5690	PSMB2	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:5744	PTHLH	Multiple myeloma	多発性骨髄腫	C0026764	55
H00010	hsa:79885	HDAC11	Multiple myeloma	多発性骨髄腫	C0026764	55
H00630	hsa:25	ABL1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3717	JAK2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:613	BCR	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3614	IMPDH1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3615	IMPDH2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:6714	SRC	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:7124	TNF	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:8792	TNFRSF11A	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3718	JAK3	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:7297	TYK2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:5743	PTGS2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:4790	NFKB1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3569	IL6	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:6097	RORC	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:958	CD40	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3592	IL12A	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3593	IL12B	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:6351	CCL4	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3716	JAK1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:1719	DHFR	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:5594	MAPK1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:471	ATIC	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:10673	TNFSF13B	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:6850	SYK	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:5530	PPP3CA	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:4773	NFATC2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:6696	SPP1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3689	ITGB2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3676	ITGA4	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3688	ITGB1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:5532	PPP3CB	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:5533	PPP3CC	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:5534	PPP3R1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:5535	PPP3R2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3383	ICAM1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3553	IL1B	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3570	IL6R	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:2908	NR3C1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3725	JUN	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:3726	JUNB	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:2353	FOS	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:2355	FOSL2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:8061	FOSL1	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:1386	ATF2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:467	ATF3	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:468	ATF4	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00630	hsa:4780	NFE2L2	Rheumatoid arthritis	関節リウマチ	C0003873	47
H00005	hsa:930	CD19	Chronic lymphocytic leukemia	慢性リンパ性白血病	C0023434	4
H00005	hsa:7852	CXCR4	Chronic lymphocytic leukemia	慢性リンパ性白血病	C0023434	4
H00005	hsa:6387	CXCL12	Chronic lymphocytic leukemia	慢性リンパ性白血病	C0023434	4
H00005	hsa:695	BTK	Chronic lymphocytic leukemia	慢性リンパ性白血病	C0023434	4
H00080	hsa:930	CD19	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:695	BTK	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:3569	IL6	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:958	CD40	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:10673	TNFSF13B	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:7292	TNFSF4	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:3586	IL10	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:727	C5	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:6850	SYK	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:5530	PPP3CA	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:4773	NFATC2	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:7099	TLR4	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:6696	SPP1	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:3689	ITGB2	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:3676	ITGA4	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:3688	ITGB1	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:5532	PPP3CB	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:5533	PPP3CC	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:5534	PPP3R1	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00080	hsa:5535	PPP3R2	Systemic lupus erythematosus	全身性エリテマトーデス	C0024141	20
H00019	hsa:6240	RRM1	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:3845	KRAS	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:10381	TUBB3	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:84617	TUBB6	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:7280	TUBB2A	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:9734	HDAC9	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:9759	HDAC4	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:3065	HDAC1	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:8841	HDAC3	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:3066	HDAC2	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:55869	HDAC8	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:83933	HDAC10	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:51564	HDAC7	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:10014	HDAC5	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:3480	IGF1R	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:3481	IGF2	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:6469	SHH	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:50846	DHH	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:5727	PTCH1	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:4233	MET	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:960	CD44	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:7298	TYMS	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:4072	EPCAM	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:7150	TOP1	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:10383	TUBB2C	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:5595	MAPK3	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:5594	MAPK1	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:10013	HDAC6	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:3685	ITGAV	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:3690	ITGB3	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:6774	STAT3	Pancreatic cancer	膵癌	C0235974	32
H00019	hsa:22943	DKK1	Pancreatic cancer	膵癌	C0235974	32
H00027	hsa:6240	RRM1	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:3815	KIT	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:5159	PDGFRB	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:3791	KDR	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:7424	VEGFC	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:10381	TUBB3	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:84617	TUBB6	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:7280	TUBB2A	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:7124	TNF	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:3480	IGF1R	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:3481	IGF2	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:3569	IL6	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:1432	MAPK14	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:5600	MAPK11	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:6300	MAPK12	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:5603	MAPK13	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:7422	VEGFA	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:960	CD44	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:4072	EPCAM	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:10383	TUBB2C	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:3685	ITGAV	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:3690	ITGB3	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:6774	STAT3	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:142	PARP1	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:672	BRCA1	Ovarian cancer	卵巣癌	C1140680	26
H00027	hsa:675	BRCA2	Ovarian cancer	卵巣癌	C1140680	26
H00031	hsa:6240	RRM1	Breast cancer	乳癌	C0006142	64
H00031	hsa:2322	FLT3	Breast cancer	乳癌	C0006142	64
H00031	hsa:4851	NOTCH1	Breast cancer	乳癌	C0006142	64
H00031	hsa:4853	NOTCH2	Breast cancer	乳癌	C0006142	64
H00031	hsa:3815	KIT	Breast cancer	乳癌	C0006142	64
H00031	hsa:5159	PDGFRB	Breast cancer	乳癌	C0006142	64
H00031	hsa:3791	KDR	Breast cancer	乳癌	C0006142	64
H00031	hsa:7424	VEGFC	Breast cancer	乳癌	C0006142	64
H00031	hsa:3265	HRAS	Breast cancer	乳癌	C0006142	64
H00031	hsa:3845	KRAS	Breast cancer	乳癌	C0006142	64
H00031	hsa:4893	NRAS	Breast cancer	乳癌	C0006142	64
H00031	hsa:4609	MYC	Breast cancer	乳癌	C0006142	64
H00031	hsa:10381	TUBB3	Breast cancer	乳癌	C0006142	64
H00031	hsa:84617	TUBB6	Breast cancer	乳癌	C0006142	64
H00031	hsa:7280	TUBB2A	Breast cancer	乳癌	C0006142	64
H00031	hsa:7124	TNF	Breast cancer	乳癌	C0006142	64
H00031	hsa:9734	HDAC9	Breast cancer	乳癌	C0006142	64
H00031	hsa:9759	HDAC4	Breast cancer	乳癌	C0006142	64
H00031	hsa:3065	HDAC1	Breast cancer	乳癌	C0006142	64
H00031	hsa:8841	HDAC3	Breast cancer	乳癌	C0006142	64
H00031	hsa:3066	HDAC2	Breast cancer	乳癌	C0006142	64
H00031	hsa:55869	HDAC8	Breast cancer	乳癌	C0006142	64
H00031	hsa:83933	HDAC10	Breast cancer	乳癌	C0006142	64
H00031	hsa:51564	HDAC7	Breast cancer	乳癌	C0006142	64
H00031	hsa:10014	HDAC5	Breast cancer	乳癌	C0006142	64
H00031	hsa:3480	IGF1R	Breast cancer	乳癌	C0006142	64
H00031	hsa:3481	IGF2	Breast cancer	乳癌	C0006142	64
H00031	hsa:958	CD40	Breast cancer	乳癌	C0006142	64
H00031	hsa:4582	MUC1	Breast cancer	乳癌	C0006142	64
H00031	hsa:6469	SHH	Breast cancer	乳癌	C0006142	64
H00031	hsa:50846	DHH	Breast cancer	乳癌	C0006142	64
H00031	hsa:1956	EGFR	Breast cancer	乳癌	C0006142	64
H00031	hsa:1950	EGF	Breast cancer	乳癌	C0006142	64
H00031	hsa:7422	VEGFA	Breast cancer	乳癌	C0006142	64
H00031	hsa:2064	ERBB2	Breast cancer	乳癌	C0006142	64
H00031	hsa:2475	MTOR	Breast cancer	乳癌	C0006142	64
H00031	hsa:3326	HSP90AB1	Breast cancer	乳癌	C0006142	64
H00031	hsa:3320	HSP90AA1	Breast cancer	乳癌	C0006142	64
H00031	hsa:7184	HSP90B1	Breast cancer	乳癌	C0006142	64
H00031	hsa:960	CD44	Breast cancer	乳癌	C0006142	64
H00031	hsa:1719	DHFR	Breast cancer	乳癌	C0006142	64
H00031	hsa:2066	ERBB4	Breast cancer	乳癌	C0006142	64
H00031	hsa:7298	TYMS	Breast cancer	乳癌	C0006142	64
H00031	hsa:4072	EPCAM	Breast cancer	乳癌	C0006142	64
H00031	hsa:10383	TUBB2C	Breast cancer	乳癌	C0006142	64
H00031	hsa:2618	GART	Breast cancer	乳癌	C0006142	64
H00031	hsa:10013	HDAC6	Breast cancer	乳癌	C0006142	64
H00031	hsa:3685	ITGAV	Breast cancer	乳癌	C0006142	64
H00031	hsa:3690	ITGB3	Breast cancer	乳癌	C0006142	64
H00031	hsa:6774	STAT3	Breast cancer	乳癌	C0006142	64
H00031	hsa:2321	FLT1	Breast cancer	乳癌	C0006142	64
H00031	hsa:7423	VEGFB	Breast cancer	乳癌	C0006142	64
H00031	hsa:2065	ERBB3	Breast cancer	乳癌	C0006142	64
H00031	hsa:1949	EFNB3	Breast cancer	乳癌	C0006142	64
H00031	hsa:1948	EFNB2	Breast cancer	乳癌	C0006142	64
H00031	hsa:471	ATIC	Breast cancer	乳癌	C0006142	64
H00031	hsa:142	PARP1	Breast cancer	乳癌	C0006142	64
H00031	hsa:672	BRCA1	Breast cancer	乳癌	C0006142	64
H00031	hsa:675	BRCA2	Breast cancer	乳癌	C0006142	64
H00031	hsa:2099	ESR1	Breast cancer	乳癌	C0006142	64
H00031	hsa:7153	TOP2A	Breast cancer	乳癌	C0006142	64
H00031	hsa:7155	TOP2B	Breast cancer	乳癌	C0006142	64
H00031	hsa:2100	ESR2	Breast cancer	乳癌	C0006142	64
H00031	hsa:915	CD3D	Breast cancer	乳癌	C0006142	64
H00018	hsa:2322	FLT3	Gastric cancer	胃癌	C0024623	25
H00018	hsa:3815	KIT	Gastric cancer	胃癌	C0024623	25
H00018	hsa:5159	PDGFRB	Gastric cancer	胃癌	C0024623	25
H00018	hsa:3791	KDR	Gastric cancer	胃癌	C0024623	25
H00018	hsa:7424	VEGFC	Gastric cancer	胃癌	C0024623	25
H00018	hsa:4609	MYC	Gastric cancer	胃癌	C0024623	25
H00018	hsa:10381	TUBB3	Gastric cancer	胃癌	C0024623	25
H00018	hsa:84617	TUBB6	Gastric cancer	胃癌	C0024623	25
H00018	hsa:7280	TUBB2A	Gastric cancer	胃癌	C0024623	25
H00018	hsa:3569	IL6	Gastric cancer	胃癌	C0024623	25
H00018	hsa:4312	MMP1	Gastric cancer	胃癌	C0024623	25
H00018	hsa:4316	MMP7	Gastric cancer	胃癌	C0024623	25
H00018	hsa:4323	MMP14	Gastric cancer	胃癌	C0024623	25
H00018	hsa:4233	MET	Gastric cancer	胃癌	C0024623	25
H00018	hsa:2064	ERBB2	Gastric cancer	胃癌	C0024623	25
H00018	hsa:7010	TEK	Gastric cancer	胃癌	C0024623	25
H00018	hsa:960	CD44	Gastric cancer	胃癌	C0024623	25
H00018	hsa:1719	DHFR	Gastric cancer	胃癌	C0024623	25
H00018	hsa:7298	TYMS	Gastric cancer	胃癌	C0024623	25
H00018	hsa:4072	EPCAM	Gastric cancer	胃癌	C0024623	25
H00018	hsa:7150	TOP1	Gastric cancer	胃癌	C0024623	25
H00018	hsa:10383	TUBB2C	Gastric cancer	胃癌	C0024623	25
H00018	hsa:4486	MST1R	Gastric cancer	胃癌	C0024623	25
H00018	hsa:324	APC	Gastric cancer	胃癌	C0024623	25
H00018	hsa:2618	GART	Gastric cancer	胃癌	C0024623	25
H00020	hsa:2322	FLT3	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:1803	DPP4	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:3815	KIT	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:5159	PDGFRB	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:3791	KDR	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:7424	VEGFC	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:3845	KRAS	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:5979	RET	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:3480	IGF1R	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:3481	IGF2	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:958	CD40	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:1956	EGFR	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:1950	EGF	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:7422	VEGFA	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:2064	ERBB2	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:2475	MTOR	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:7010	TEK	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:960	CD44	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:7298	TYMS	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:4072	EPCAM	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:7150	TOP1	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:324	APC	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:5595	MAPK3	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:5594	MAPK1	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
H00020	hsa:6774	STAT3	Colorectal cancer	結腸・直腸癌; 大腸癌	C0009402	41
